run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_model	library_name	library_strategy	library_source	first_public	experiment_title	fastq_ftp	submitted_ftp	sample_alias	sample_title	bam_ftp
SRR8615033	PRJNA523380	SAMN10988141	SRX5414207	9606	Homo sapiens	Illumina MiSeq	TERTp-HCC56_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HCC56_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615033/SRR8615033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615033/SRR8615033_2.fastq.gz		HCC56_LARGE_INTESTINE	HCC56_LARGE_INTESTINE	
SRR8615034	PRJNA523380	SAMN10988287	SRX5414206	9606	Homo sapiens	Illumina MiSeq	TERTp-HCC78_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HCC78_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615034/SRR8615034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615034/SRR8615034_2.fastq.gz		HCC78_LUNG	HCC78_LUNG	
SRR8615035	PRJNA523380	SAMN10989587	SRX5414205	9606	Homo sapiens	Illumina MiSeq	TERTp-HOP62_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HOP62_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615035/SRR8615035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615035/SRR8615035_2.fastq.gz		HOP62_LUNG	HOP62_LUNG	
SRR8615042	PRJNA523380	SAMN10987804	SRX5414198	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH810_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH810_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615042/SRR8615042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615042/SRR8615042_2.fastq.gz		NCIH810_LUNG	NCIH810_LUNG	
SRR8615047	PRJNA523380	SAMN10987678	SRX5414193	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH322_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH322_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615047/SRR8615047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615047/SRR8615047_2.fastq.gz		NCIH322_LUNG	NCIH322_LUNG	
SRR8615048	PRJNA523380	SAMN10988040	SRX5414192	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH292_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH292_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615048/SRR8615048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615048/SRR8615048_2.fastq.gz		NCIH292_LUNG	NCIH292_LUNG	
SRR8615049	PRJNA523380	SAMN10987612	SRX5414191	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH28_PLEURA	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH28_PLEURA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615049/SRR8615049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615049/SRR8615049_2.fastq.gz		NCIH28_PLEURA	NCIH28_PLEURA	
SRR8615055	PRJNA523380	SAMN10987709	SRX5414185	9606	Homo sapiens	Illumina MiSeq	TERTp-LMSU_STOMACH	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of LMSU_STOMACH	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615055/SRR8615055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615055/SRR8615055_2.fastq.gz		LMSU_STOMACH	LMSU_STOMACH	
SRR8615057	PRJNA523380	SAMN10987819	SRX5414183	9606	Homo sapiens	Illumina MiSeq	TERTp-KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615057/SRR8615057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615057/SRR8615057_2.fastq.gz		KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8615060	PRJNA523380	SAMN10988515	SRX5414180	9606	Homo sapiens	Illumina MiSeq	TERTp-KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615060/SRR8615060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615060/SRR8615060_2.fastq.gz		KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
